Регионы;январь;февраль
Российская Федерация;21583.67;21704.84
Центральный федеральный округ;24282.61;24411.69
Белгородская область;18656.39;18844.01
Брянская область;20588.86;20692.18
Владимирская область;21686.07;21844.2
Воронежская область;20625.06;20816.33
Ивановская область;20461.5;20547.06
Калужская область;21185.01;21310.36
Костромская область;19637.25;19776.87
Курская область;19772.05;19889.11
Липецкая область;18696.49;18805.44
Московская область;24060.12;24161.78
Орловская область;18978.88;19063.39
Рязанская область;20100.31;20181.92
Смоленская область;20638.19;20745.49
Тамбовская область;19626.45;19694.67
Тверская область;19788.04;19853.7
Тульская область;20391.33;20647.53
Ярославская область;20108.39;20292.31
Город Москва столица Российской Федерации город федерального значения;31687.07;31831.98
Северо-Западный федеральный округ;23057.99;23201.96
Республика Карелия;22911.4;22912.15
Республика Коми;23057.8;23212.41
Архангельская область;24037.15;24236.35
Ненецкий автономный округ (Архангельская область);26196.77;26234.66
Архангельская область (кроме Ненецкого автономного округа);23950.22;24155.91
Вологодская область;22505.04;22598.66
Калининградская область;22622.37;22770.41
Ленинградская область;21269.67;21414.14
Мурманская область;24975.73;25041.21
Новгородская область;19266.76;19437.79
Псковская область;20124.91;20227.58
Город Санкт-Петербург город федерального значения;24312.24;24466.09
Южный федеральный округ (с 29.07.2016);20252.19;20344.09
Республика Адыгея (Адыгея);19218.09;19325.53
Республика Калмыкия;19265.27;19406.07
Республика Крым;20863.59;20936.91
Краснодарский край;22284.26;22363.03
Астраханская область;18603.75;18675.84
Волгоградская область;18951.08;19051.86
Ростовская область;21313.91;21435.34
Город федерального значения Севастополь;21083.3;21106.49
Северо-Кавказский федеральный округ;20035.15;20145.51
Республика Дагестан;19370.25;19454.63
Республика Ингушетия;18972.03;19153.37
Кабардино-Балкарская Республика;20296.97;20375.88
Карачаево-Черкесская Республика;19786.81;19892.36
Республика Северная Осетия-Алания;18791.63;18966.89
Чеченская Республика;19458.91;19585.43
Ставропольский край;21259.91;21392.18
Приволжский федеральный округ;19428.85;19528.28
Республика Башкортостан;19520.9;19624.89
Республика Марий Эл;19045.84;19157.63
Республика Мордовия;18529.42;18607.38
Республика Татарстан (Татарстан);18879.44;18976.03
Удмуртская Республика;19455.9;19631.36
Чувашская Республика - Чувашия;18638.27;18760.86
Пермский край;21182.57;21389.2
Кировская область;19621.59;19727.65
Нижегородская область;20789.84;20830.87
Оренбургская область;18869.71;18928.95
Пензенская область;18562.45;18660.31
Самарская область;19850.47;19926.18
Саратовская область;18860.78;18920.21
Ульяновская область;19874.79;19952.24
Уральский федеральный округ;20848.41;20987.97
Курганская область;19442.3;19530.35
Свердловская область;20784.91;20950.16
Тюменская область;22277.47;22451.89
Ханты-Мансийский автономный округ - Югра (Тюменская область);23864.9;23966.38
Ямало-Ненецкий автономный округ (Тюменская область);25285.62;25457.9
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);19285.65;19544.34
Челябинская область;19454.51;19540.09
Сибирский федеральный округ;20484.16;20570.06
Республика Алтай;22218.17;22380.08
Республика Тыва;19896.14;20063.94
Республика Хакасия;21700.7;21869.84
Алтайский край;21464.91;21499.98
Красноярский край;22309.28;22404.3
Иркутская область;20384.44;20480.72
Кемеровская область - Кузбасс;19310.23;19392.24
Новосибирская область;21187.75;21277.71
Омская область;18828.68;18867.01
Томская область;20585.95;20717.65
Дальневосточный федеральный округ;24582.79;24781.74
Республика Бурятия;21298.86;21385.45
Забайкальский край;21680.6;22015.93
Республика Саха (Якутия);27559.12;27696.25
Камчатский край;33090.45;33185.63
Приморский край;25091.08;25347.84
Хабаровский край;25295.68;25482
Амурская область;22705.78;22845.19
Магаданская область;29790.8;30288.67
Сахалинская область;26533.77;26702.45
Еврейская автономная область;25172.58;25350.24
Чукотский автономный округ;35494.28;35781.77
